original_feature_index_zero_based,feature_name_zero_based,molecular_side,selected_by_training_only_MI,mean_absolute_shap,rank_by_mean_absolute_shap
358,fd_358,donor,False,,
359,fd_359,donor,False,,
360,fd_360,donor,False,,
361,fd_361,donor,False,,
362,fd_362,donor,False,,
363,fd_363,donor,False,,
364,fd_364,donor,False,,
365,fd_365,donor,False,,
366,fd_366,donor,False,,
367,fd_367,donor,False,,
368,fd_368,donor,True,0.0016766790868757,376.0
369,fd_369,donor,True,0.0006700888828421,463.0
370,fd_370,donor,False,,
371,fd_371,donor,False,,
372,fd_372,donor,True,0.0951761786908778,9.0
373,fd_373,donor,True,0.0030425397209397,267.0
374,fd_374,donor,False,,
375,fd_375,donor,True,8.242071036614374e-05,576.0
376,fd_376,donor,True,0.0070794696855329,151.0
377,fd_377,donor,False,,
378,fd_378,donor,False,,
379,fd_379,donor,True,0.0006276316419791,470.0
380,fd_380,donor,False,,
381,fd_381,donor,False,,
382,fd_382,donor,False,,
383,fd_383,donor,True,0.0338377694311574,25.0
384,fd_384,donor,False,,
385,fd_385,donor,False,,
386,fd_386,donor,False,,
387,fd_387,donor,True,0.0067564673759852,159.0
388,fd_388,donor,False,,
389,fd_389,donor,False,,
390,fd_390,donor,False,,
391,fd_391,donor,False,,
392,fd_392,donor,True,0.0023815165011125,307.0
393,fd_393,donor,False,,
394,fd_394,donor,False,,
395,fd_395,donor,False,,
396,fd_396,donor,True,0.0016563560247783,377.0
397,fd_397,donor,False,,
398,fd_398,donor,False,,
399,fd_399,donor,True,0.0001857562614903,553.0
400,fd_400,donor,False,,
401,fd_401,donor,False,,
402,fd_402,donor,True,0.0002647411213418,532.0
403,fd_403,donor,True,0.0031935549101946,257.0
404,fd_404,donor,False,,
405,fd_405,donor,True,0.0015600108101801,382.0
406,fd_406,donor,True,0.003477799674261,241.0
407,fd_407,donor,False,,
408,fd_408,donor,False,,
409,fd_409,donor,False,,
410,fd_410,donor,False,,
411,fd_411,donor,False,,
412,fd_412,donor,False,,
413,fd_413,donor,False,,
414,fd_414,donor,True,0.0028527017685182,284.0
415,fd_415,donor,True,0.0004447298908828,496.0
416,fd_416,donor,False,,
417,fd_417,donor,False,,
418,fd_418,donor,False,,
419,fd_419,donor,True,0.002922225988217,279.0
420,fd_420,donor,True,0.0024406978068863,304.0
421,fd_421,donor,True,0.0144588654749757,72.0
422,fd_422,donor,True,0.0014652613077712,390.0
423,fd_423,donor,False,,
424,fd_424,donor,False,,
425,fd_425,donor,False,,
426,fd_426,donor,False,,
427,fd_427,donor,False,,
428,fd_428,donor,True,0.0104175414121495,99.0
429,fd_429,donor,False,,
430,fd_430,donor,False,,
431,fd_431,donor,False,,
432,fd_432,donor,False,,
433,fd_433,donor,False,,
434,fd_434,donor,False,,
435,fd_435,donor,False,,
436,fd_436,donor,False,,
437,fd_437,donor,False,,
438,fd_438,donor,False,,
439,fd_439,donor,False,,
440,fd_440,donor,False,,
441,fd_441,donor,False,,
442,fd_442,donor,False,,
443,fd_443,donor,False,,
444,fd_444,donor,False,,
445,fd_445,donor,True,0.007938631229596,134.0
446,fd_446,donor,False,,
447,fd_447,donor,True,0.0002863440216825,525.0
448,fd_448,donor,False,,
449,fd_449,donor,False,,
450,fd_450,donor,False,,
451,fd_451,donor,False,,
452,fd_452,donor,True,0.0034837856555036,240.0
453,fd_453,donor,False,,
454,fd_454,donor,True,0.0076702917355927,137.0
455,fd_455,donor,False,,
456,fd_456,donor,True,0.0226781669215625,46.0
457,fd_457,donor,False,,
458,fd_458,donor,False,,
459,fd_459,donor,True,0.0015328900825103,385.0
460,fd_460,donor,False,,
461,fd_461,donor,False,,
462,fd_462,donor,True,0.000274569922777,528.0
463,fd_463,donor,False,,
464,fd_464,donor,False,,
465,fd_465,donor,True,0.0003211890855486,517.0
466,fd_466,donor,False,,
467,fd_467,donor,False,,
468,fd_468,donor,True,2.312641582171202e-05,587.0
469,fd_469,donor,False,,
470,fd_470,donor,False,,
471,fd_471,donor,False,,
472,fd_472,donor,False,,
473,fd_473,donor,True,0.0042729479228946,206.0
474,fd_474,donor,True,0.0023611024952219,310.0
475,fd_475,donor,False,,
476,fd_476,donor,False,,
477,fd_477,donor,False,,
478,fd_478,donor,False,,
479,fd_479,donor,False,,
480,fd_480,donor,True,0.0017566115322929,367.0
481,fd_481,donor,True,0.0005130034650207,485.0
482,fd_482,donor,False,,
483,fd_483,donor,False,,
484,fd_484,donor,False,,
485,fd_485,donor,False,,
486,fd_486,donor,False,,
487,fd_487,donor,False,,
488,fd_488,donor,True,9.020946828688746e-05,571.0
489,fd_489,donor,True,0.0017365255398022,370.0
490,fd_490,donor,False,,
491,fd_491,donor,False,,
492,fd_492,donor,False,,
493,fd_493,donor,False,,
494,fd_494,donor,True,0.0304994863472359,30.0
495,fd_495,donor,True,0.0032296254966107,254.0
496,fd_496,donor,True,0.0096465486044051,107.0
497,fd_497,donor,False,,
498,fd_498,donor,False,,
499,fd_499,donor,True,0.0095708761708991,108.0
500,fd_500,donor,False,,
501,fd_501,donor,True,5.148388224109367e-05,580.0
502,fd_502,donor,True,0.0264867374320078,38.0
503,fd_503,donor,False,,
504,fd_504,donor,True,0.0059036890799598,168.0
505,fd_505,donor,False,,
506,fd_506,donor,False,,
507,fd_507,donor,True,0.0005679510889934,478.0
508,fd_508,donor,False,,
509,fd_509,donor,False,,
510,fd_510,donor,False,,
