selected_model_input_position,original_feature_index_zero_based,feature_name_zero_based,mean_absolute_shap,rank_by_mean_absolute_shap
159,570,fd_570,0.0042405741063677,207
366,1258,fa_234,0.0042307031926783,208
355,1229,fa_205,0.0041884625564397,209
247,859,fd_859,0.0041860875096333,210
361,1244,fa_220,0.0041567738268902,211
7,24,fd_24,0.0041408427869263,212
35,119,fd_119,0.0041325398652579,213
564,1922,fa_898,0.0041318505698819,214
300,1056,fa_32,0.0041149384611822,215
210,727,fd_727,0.0040751788375995,216
24,78,fd_78,0.0039798712777852,217
407,1402,fa_378,0.0039213851307822,218
583,1983,fa_959,0.0039158169568325,219
325,1119,fa_95,0.0038982543919481,220
307,1072,fa_48,0.0038908954978709,221
249,868,fd_868,0.0038850880911448,222
420,1455,fa_431,0.0038459270378129,223
146,520,fd_520,0.0038215175592411,224
437,1501,fa_477,0.00377169448759,225
411,1420,fa_396,0.0037504259680817,226
283,997,fd_997,0.003708877098729,227
562,1912,fa_888,0.0036867703403471,228
494,1704,fa_680,0.0036760407001779,229
188,680,fd_680,0.0036676952915437,230
362,1245,fa_221,0.0036563151658022,231
291,1024,fa_0,0.0036554027394779,232
256,885,fd_885,0.003646712382404,233
91,333,fd_333,0.0036376166838263,234
179,643,fd_643,0.0036149632379333,235
145,519,fd_519,0.0036050666106057,236
525,1800,fa_776,0.0036034334234667,237
261,911,fd_911,0.0035692233430394,238
395,1364,fa_340,0.0035391134340925,239
122,452,fd_452,0.0034837856555036,240
112,406,fd_406,0.003477799674261,241
242,835,fd_835,0.0034355391144495,242
285,1002,fd_1002,0.0033897866909766,243
442,1523,fa_499,0.0033874553617404,244
353,1221,fa_197,0.0033759541681171,245
374,1299,fa_275,0.0033586318135408,246
148,532,fd_532,0.003348760421139,247
326,1120,fa_96,0.0033274667416714,248
556,1900,fa_876,0.0033245162097204,249
586,1994,fa_970,0.0033218703459187,250
235,801,fd_801,0.0032819768776324,251
196,703,fd_703,0.0032586987480222,252
570,1946,fa_922,0.0032519875603062,253
136,495,fd_495,0.0032296254966107,254
240,826,fd_826,0.0031954007363918,255
346,1192,fa_168,0.0031953282386362,256
110,403,fd_403,0.0031935549101946,257
452,1561,fa_537,0.0031779162215345,258
480,1654,fa_630,0.0031673246353989,259
59,194,fd_194,0.00315158860158,260
422,1463,fa_439,0.0031320122114395,261
250,871,fd_871,0.0031281828215214,262
286,1004,fd_1004,0.0030657851056408,263
304,1065,fa_41,0.003062638550472,264
280,980,fd_980,0.0030596140087829,265
462,1587,fa_563,0.0030428197025753,266
100,373,fd_373,0.0030425397209397,267
440,1518,fa_494,0.0030388639386642,268
522,1795,fa_771,0.0030311747922415,269
501,1723,fa_699,0.003023514111934,270
253,878,fd_878,0.003012312776513,271
470,1627,fa_603,0.0029974644159747,272
444,1534,fa_510,0.0029861421476575,273
347,1193,fa_169,0.0029746755741667,274
474,1637,fa_613,0.0029743193854958,275
207,724,fd_724,0.0029672678152689,276
382,1326,fa_302,0.0029490547726434,277
352,1219,fa_195,0.002927630975791,278
115,419,fd_419,0.002922225988217,279
162,587,fd_587,0.0029004170052947,280
593,2029,fa_1005,0.0028733687666673,281
384,1328,fa_304,0.0028662801631267,282
19,62,fd_62,0.0028602500574072,283
113,414,fd_414,0.0028527017685182,284
85,310,fd_310,0.0028232528612246,285
208,725,fd_725,0.0028214498058244,286
413,1426,fa_402,0.0028184354802697,287
433,1488,fa_464,0.0028140063177603,288
471,1628,fa_604,0.0027944966073438,289
251,872,fd_872,0.0027893883762146,290
182,653,fd_653,0.0027268409491307,291
448,1553,fa_529,0.0027170603122168,292
574,1955,fa_931,0.0026917765678138,293
498,1717,fa_693,0.002682766463007,294
275,970,fd_970,0.0026610765462504,295
33,117,fd_117,0.0026508794144638,296
499,1719,fa_695,0.0026414124323212,297
552,1887,fa_863,0.0025851927460118,298
276,972,fd_972,0.0025587241303254,299
390,1352,fa_328,0.0025407543518726,300
594,2032,fa_1008,0.0025245805238822,301
341,1168,fa_144,0.0024946625378593,302
529,1810,fa_786,0.0024563920589898,303
116,420,fd_420,0.0024406978068863,304
46,144,fd_144,0.0024017038389764,305
79,293,fd_293,0.0023926064981783,306
106,392,fd_392,0.0023815165011125,307
225,762,fd_762,0.0023705025076371,308
523,1796,fa_772,0.0023624404021027,309
