query_source,query_index,nearest_other_source_index,donor_similarity,acceptor_similarity,paired_similarity
in-house,240,533,0.33636364340782166,0.737500011920929,0.5369318127632141
in-house,241,483,0.5,0.4615384638309479,0.48076921701431274
in-house,242,483,0.46236559748649597,0.4183673560619354,0.4403664767742157
in-house,243,533,0.33636364340782166,0.6404494643211365,0.48840653896331787
in-house,244,533,0.22123894095420837,0.7058823704719543,0.46356064081192017
in-house,245,483,0.46236559748649597,0.49438202381134033,0.47837382555007935
in-house,246,533,0.1666666716337204,0.835616409778595,0.5011415481567383
in-house,247,533,0.2767857015132904,0.9189189076423645,0.5978522896766663
in-house,248,93,0.3457943797111511,0.5844155550003052,0.46510496735572815
in-house,249,93,0.4528301954269409,0.3046875,0.37875884771347046
in-house,250,483,0.46236559748649597,0.796875,0.6296203136444092
in-house,251,483,0.46236559748649597,0.4545454680919647,0.45845553278923035
in-house,252,533,0.2641509473323822,0.6860465407371521,0.47509872913360596
in-house,253,533,0.31192660331726074,0.835616409778595,0.5737714767456055
in-house,254,47,0.4285714328289032,0.5116279125213623,0.47009968757629395
in-house,255,533,0.3272727131843567,0.7160493731498718,0.5216610431671143
in-house,256,533,0.33636364340782166,0.7948718070983887,0.5656177401542664
in-house,257,93,0.40336135029792786,0.3645833432674408,0.3839723467826843
in-house,258,47,0.3303571343421936,0.4112149477005005,0.37078604102134705
in-house,259,483,0.46236559748649597,0.517241358757019,0.4898034930229187
in-house,260,533,0.33636364340782166,0.5555555820465088,0.4459596276283264
in-house,261,533,0.3272727131843567,0.835616409778595,0.5814445614814758
in-house,262,533,0.33636364340782166,0.8243243098258972,0.5803439617156982
in-house,263,483,0.4886363744735718,0.48235294222831726,0.4854946732521057
in-house,264,483,0.46236559748649597,0.4021739065647125,0.43226975202560425
in-house,265,533,0.33636364340782166,0.7341772317886353,0.5352704524993896
in-house,266,483,0.46236559748649597,0.2183908075094223,0.34037819504737854
in-house,267,352,0.29411765933036804,0.3052631616592407,0.2996904253959656
in-house,268,93,0.5154638886451721,0.4112149477005005,0.4633394181728363
in-house,269,533,0.33636364340782166,0.6666666865348816,0.5015151500701904
in-house,270,533,0.17543859779834747,1.0,0.5877193212509155
in-house,271,483,0.46236559748649597,0.39175257086753845,0.4270590841770172
in-house,272,533,0.21367521584033966,0.835616409778595,0.5246458053588867
in-house,273,533,0.33636364340782166,0.5631067752838135,0.44973522424697876
in-house,274,93,0.39449542760849,1.0,0.6972477436065674
in-house,275,93,0.4528301954269409,0.6081081032752991,0.5304691791534424
in-house,276,533,0.33636364340782166,0.6292135119438171,0.4827885627746582
