array_index,source,source_row,donor_smiles,acceptor_smiles,experimental_PCE,pair_key,donor_fp_hash,acceptor_fp_hash,pair_fp_hash,legacy_sequence_hash,role_aware_sequence_hash,pair_fp_group_id,legacy_sequence_group_id,role_aware_sequence_group_id,safe_any_encoding_group_id
36,Gao,36,,,1.71,Gao_0036,d8a863957d32709ef2d86480befa75941b875dfdd9986d4456f0dae8d46d84af,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,4cb292ca080cf542cb251fe077107de0013a11a02dc9e83ab983f3ac2c8a9fae,57b8d5a98fa5b3943f2969586a2b02d0012e73e9951b784e59b6e6ebe0ad1213,de79c38459743d3b439746657aa910cd1fac1301ef7f3400404fded6a9f3ab70,355,418,1034,715
37,Gao,37,,,2.58,Gao_0037,f95970defaf2c06a84db98a48bdcc0487ec16c351d38060c279618c36a950caa,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,4cd0eb4dc7d1232c62959707a98f12047e0ead03cdcdf03fee1bb80c9fc0f991,0ce0a5fe479762f05d972702bfa99206c2afb177374b6589f56793c52c48812c,f2c6c8755be11e668f2f2d93e8cae74e6181b8d0718aff8d8cbc4bc7882d712d,356,63,1135,716
38,Gao,38,,,3.11,Gao_0038,464ed43b9123098ba5a55bc82d2a2530748d8272e2952e4cad38e892d011537e,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,1f48b19b9c6eb813abf2a522494da28568f02642266b492666e00869933ce4d6,d6219d065e172c5b69206b87a71ee0ff6edb1dafd40f065c76afb6e0aa32de4b,9e02a1d5a53de7c214db8db00d14aeef1b19ad06acb20aa4685abbc384550934,144,993,722,717
39,Gao,39,,,4.13,Gao_0039,8c36a90f9e45f84a8101f9757368588929cb9ffebbf84b5d644c7b6a351bb0c5,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,9ff6d1c185ceb739823f0ddb6c9dfb199bcebe0c16c7bb3cc1a8368c477668ea,d3142cd4b13ccdf762349d8351025e1e7890d9066f33adba5a925377a6723e28,a1969236f6a0e02878f2d2f74efcd5213a5471f0a70e0a228190c94158557cc8,735,975,738,718
40,Gao,40,,,12.08,Gao_0040,88396f3ea512153dba9e47b29c009cdfdceac03900ac3a0a545fb8f3b09f7fb5,46c1ec8aefca77a3dcc9ae1567e1a8d482734bcb2bba851c9b52d07de0c53a40,4442d28c10f07c727cb7eef4d7344f0042c57fac0779ca2f547d552ffb66b813,084fe666d6724dff734278493cb7341214641ec15d8f1997893f6681a2a44baf,dc7719200f45fc513cfab0b9ef2f977b963775bf8c4203ae6c9c5159eff9ac50,309,40,1021,719
41,Gao,41,,,1.04,Gao_0041,79418b87387c597467e864eba74f6cd9dff6050c031f24de3b21ff4b25ea0762,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,2fd462e1db765980d4ee4a73d1e84eb7aa46dbf242af10b345fbdc461ca2c110,6ea9bb16f6b8b0926db7a9f18372cc90275bad35611405d8c6b164775cc30153,da49efb53f1b0f9827f4c228ae19a9323c11f934ffe7371392fea32ce4c7ce37,214,536,1005,720
42,Gao,42,,,1.51,Gao_0042,542c6d0becb44143c0bd3c3aaf7bb3957231b15d356d0b1783eaa40024c479f2,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,3ae10de8eefd9a3e737fb9647a437b771898b1ccc1f80d43a36a939e274983c8,99def5d14404dcc905f7ce28f4c5fcc2ef505dec868c99181506f0b7ba195838,7760a259a460a2708cd96b00951a7ebd4eab11c1daa9730235bfdf2a7e348513,263,719,537,721
43,Gao,43,,,1.14,Gao_0043,250c6a95912683951caf34161302ecd79249ef11c80435dc2baa85fe418f94a7,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,3838948c1e0968484fdde754fefc0f2c4e61e2286f53c8edad2e2b7158622340,66373e0e88d5279999d891406a529fe6c36d7c3235a748946b37c9be1186095d,b7d6e7e373aa27c507d2f2882ea1528c1a7d6027ca5f40697d1b02a10404bf51,250,487,850,722
44,Gao,44,,,1.27,Gao_0044,96227cd640baf569104fad88a83983f4b0b91b5c46709c1a8136b722163a8bc4,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,bffd4b2971a533d872f7cbc21e93efa3b77a148123571ff76e3328ef2b9feea3,3e6ab2e928a68a9efa89703e7a74088d4b57a6a1cae1520415bd7ef996aadd2b,c0e9a9d734c2e777fe6292d26a65a0d8aadb0c8d77fd8d13531c317e04da2705,911,304,893,723
45,Gao,45,,,3.29,Gao_0045,d38bf10da3c784b04f29d1a5d4a52a57c56c728bc1e6ccb93a11ac2e810297b9,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,e77c6ad83c1aa341b2aaf69a4daf11d09efb5dedf0ec7262c4f73694f517cc18,265ccf25a9bff9c0007057b456789dd9d46766edd9e6e264216b1d4bdb83752b,1eb2d4d3e5987ed34d2cd2d7394923c0ed6004697d82a62ad9c705ba46746c62,1094,189,129,724
46,Gao,46,,,9.8,Gao_0046,4cf1b73be53f6aacf715b887bdabad991622ff5819d46003ed520ab04cb926b0,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,8aad78d982e8433f12072628b546d4fa2cbb7d67bf7545e4694c209645e61872,eae0aab4d4a2e4628c5e4017fc567a26ef5771095d6792b00efb10a989ae74cf,c1b9c499b92a5fb7d7f2ec2d60d3e1870c9ff3c557c6a998c20db0a7efaf010c,631,1082,895,725
