split_seed,model_seed,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
4,0,0.5472134138494883,0.4967932648434507,0.2620416127889198,2.657246093085895,1.929119960301452,-0.173481279777156,2.545030932267226,0.7472572473745174
4,1,0.5837836418723175,0.5217116521034385,0.2960941230031569,2.595213766362839,1.894162450399664,-0.2901255148980353,2.5610347173296866,0.7549363728026447
4,2,0.5481932281480072,0.4711815837443745,0.2518171391167384,2.6755909500234174,2.001678330202897,-0.2404355911744965,2.7898897619411365,0.7263447902246316
4,3,0.5617885427625863,0.4989515187077432,0.2427695392433411,2.69171998234231,2.010866800116168,-0.3993228781554434,3.1163616182966507,0.7032962613385411
4,4,0.567676970187012,0.5115835334106693,0.264692962868001,2.652468297165869,1.9210422742697928,0.0589945854412184,2.7913205541558894,0.7035778941727932
5,0,0.3985580326892403,0.3582145377087744,-0.0076612649547025,3.1420120408236416,2.300903059998337,0.6130330862642146,3.960024639882123,0.5268171277489929
5,1,0.3327777635050987,0.2867737551236974,-0.131134636868093,3.3289533822933945,2.4394902136861063,0.7013481904049309,4.839641948862336,0.431855124510613
5,2,0.4085902370769538,0.3796624513360772,0.0537364679826475,3.0447848807946176,2.2288644192170124,0.5222947021730903,3.4693369127447657,0.5830638195122622
5,3,0.363026972139037,0.3531746369198328,-0.0183176048423066,3.15858223795612,2.3005966515768144,0.4141782473544685,4.325858294069593,0.4992358512285738
5,4,0.3637891103616388,0.3126514166333347,-0.0385435106047391,3.189796013990594,2.341677087504848,0.3261282160168602,4.585161414409905,0.4762719393199415
6,0,0.6715601792169392,0.6518542919231752,0.4456742172871677,2.4000600213964587,1.8024960906300325,-0.1298351903624882,0.9455610601480622,0.9169806154499908
6,1,0.6908426141175374,0.6705427370885071,0.4584780094631095,2.372179847492408,1.752429234271018,-0.1580471787231647,1.689487645557021,0.8436909410965335
6,2,0.7139232075229933,0.6853202551857603,0.4990536789754306,2.281577151908865,1.737466171087808,-0.2804109276525232,0.9767874994763672,0.9280242241588292
6,3,0.6778954933268552,0.655343452346657,0.4553897203770648,2.378934477926358,1.7708467189839343,-0.1433503122519183,0.7749552155714563,0.9356307361184502
6,4,0.7147864096825934,0.6753703966155021,0.483428226546079,2.316887247974694,1.7101032623392067,-0.388557339346172,1.7030416603088636,0.8626023254228797
7,0,0.6083452938514469,0.5213246211863812,0.3510085087128294,2.4421902957596258,1.976217268503827,-0.0231871927599255,1.7017912879153287,0.8152059370607825
7,1,0.6062963701129958,0.5273460323872919,0.3212617041282696,2.4975326624364333,2.0131591810382528,-0.2805211403601461,2.4230100828675067,0.7572611744743064
7,2,0.5849321106362529,0.509545444989275,0.3046112374923201,2.527981164811753,2.0106952193615246,-0.0597843005717229,2.3019509296914906,0.7521660015422864
7,3,0.5711981148029153,0.4749497006349515,0.2834190714370836,2.566212537640824,2.1002924222525934,-0.2394271476877679,2.464471084412913,0.7490761567248935
7,4,0.5979901255580015,0.5320156982165697,0.2652186916846613,2.5985977000661857,2.1062766102363737,-0.5977258215919673,2.9709903640833426,0.7210912884365008
8,0,0.6002167189224852,0.6051437372274551,0.3460401231154907,2.488577607646909,1.900852064986329,0.0269076157283116,1.5905030727068314,0.8346274173906404
8,1,0.6365694584145745,0.638377856581606,0.3894805887762019,2.404503290126078,1.856744937963419,-0.225289980014721,1.5398985870951736,0.8620297950500307
8,2,0.640359483132195,0.6425926553685548,0.380565648970841,2.421995211399501,1.7986767675493147,0.2162741080864326,1.7437756230249797,0.803400719319818
8,3,0.612195535282372,0.615286751056028,0.350653282328998,2.4797846199220963,1.8220124211344688,0.424005711828912,0.6434745597415829,0.8951137274342037
8,4,0.6136494759256974,0.6049836815773177,0.3483820757120274,2.4841175801538298,1.8618082583367408,-0.1219780778551435,2.144707494026641,0.7899885224289899
9,0,0.6720834301804907,0.6657353599827303,0.4044131895425125,2.3987544777684158,1.846382659879224,-0.5888123849342609,1.8750431417940363,0.8629298284935387
9,1,0.6957028061108628,0.6800287363553034,0.4484595477434842,2.3083515383103217,1.806682294812696,-0.3345682004402424,2.0885845449370715,0.8180100282236958
9,2,0.6992747351510165,0.7005693141333499,0.4602967378604663,2.2834462027146687,1.7441503664542888,-0.326326662096484,1.8669783755179088,0.8402844938961513
9,3,0.6638961842921641,0.6457045569885581,0.3586698138792406,2.489167394581512,1.9647184824121409,-0.6421192670690602,2.789897270395678,0.7698093824177602
9,4,0.6860493870675483,0.6673945883333332,0.459351139769807,2.2854457064893,1.7564894421347257,-0.1233681407468072,1.3618798176762354,0.8742523509820568
