split_seed,model_seed,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
4,2,0.6678659377387615,0.6733300351533736,0.4358582524455708,1.8274831063268384,1.458837106584563,-0.2419881167142678,0.3264055817382767,0.9749281458460032
4,3,0.6661536502280703,0.6770968548115527,0.4394417230909683,1.8216697050273976,1.4368878825149871,-0.1193437866614174,-0.1258818683450358,1.0702719648382466
4,4,0.6617507261136597,0.6847480541692583,0.4347426230459569,1.8292892010901969,1.462309843769175,-0.0468579101219564,0.3106276316502717,0.9259521312390426
5,0,0.5891901466122887,0.6023498766888068,0.3311016955316744,1.881667870463784,1.4711263942277446,-0.206561056031617,0.6302027539090239,0.8683256694066361
5,1,0.568023594666248,0.5662603254274726,0.3118442552488042,1.9085620836995465,1.5223182806929678,0.1639340527153591,0.2579527340047955,0.8824120307115538
5,2,0.5303019117121144,0.547270863092701,0.2769278156467433,1.956382409995951,1.511648123719255,-0.1102230170486881,0.3677667802076457,0.9222786879732828
5,3,0.5782925384539926,0.5919205354754937,0.3102642862972142,1.910751806013536,1.5287818269285742,0.2653199683321323,0.297967644036074,0.8473154889082583
5,4,0.5912585165086377,0.5923286401316669,0.3333768712177902,1.8784650131724316,1.4932957504093998,-0.2883028428571053,0.4033500424335824,0.9633093838583812
6,0,0.4692058840543409,0.4649325470222908,0.0765923091976321,2.145907687302436,1.681789667914725,-0.3975794206511367,1.935022436333848,0.5838306347069363
6,1,0.5018118541329042,0.4991878013051817,0.1824958917220707,2.0191066715522714,1.598538325185439,-0.1862969471797071,1.4840370513615724,0.6677194064235119
6,2,0.4978217552510818,0.4825770278822307,0.1473815671570801,2.062014194732,1.6251012766906232,-0.3382857391024353,1.6844893938565175,0.6413534191407466
6,3,0.4875705671382387,0.4751267125299235,0.1250170847170997,2.088882821908509,1.6421385003012363,-0.2075713030062616,1.754232483309508,0.6018152761616606
6,4,0.4911524099487924,0.4871262933307304,0.1000288482340163,2.1185005745925585,1.64154579654267,-0.1522058486007154,1.8436883819234755,0.5706511374197305
7,0,0.5485629454145051,0.5922904986294447,0.2727776380306935,2.315672031379392,1.741635145212058,-0.4540884239518513,0.5369079525710334,0.9761259399182094
7,1,0.6013073629556638,0.6175923011765221,0.3226169427325956,2.234912902448553,1.6563461376577977,-0.5307602968129616,0.3689421980097812,1.0477009490727356
7,2,0.5914894872139103,0.6029062665123635,0.2976912505756431,2.2756605316004697,1.7288499784234983,-0.6092328704096592,0.3506918947534439,1.0780177705196716
7,3,0.5978435408018548,0.6235510010384419,0.3000406778872929,2.2718509692796305,1.7096569040440954,-0.6138957992258768,0.1088387716100966,1.1526216322317857
7,4,0.5855285570997517,0.6046186592211158,0.3383260564884185,2.208846081779253,1.763592534649293,-0.1823757918184408,0.1655214108273898,1.0045056395610557
8,0,0.6405828992444177,0.6530449797504195,0.3743938876463277,1.8251004865103724,1.4606389496649537,0.3499334224752176,0.2610660060536002,0.8491299820588147
8,1,0.6502683392045916,0.63849177679628,0.4099715071142384,1.7724450565269114,1.3960058826987989,-0.1537678204128675,0.5926687657938603,0.8762313097463381
8,2,0.6696272442658824,0.6715022226757638,0.4275309538836238,1.7458715732268428,1.331508942575098,0.0287717617003717,0.630863833774985,0.8230913097766877
8,3,0.6703370413371696,0.6652028557962539,0.4386678831392907,1.7288058954503622,1.364737850622596,-0.0830676275714535,0.5398285900922997,0.8737126609816173
8,4,0.6330079876277371,0.6288957739059536,0.3498126051212813,1.8606109051190924,1.505525417277746,0.2677833375251182,0.6608992892193192,0.7659387063312424
9,0,0.6424228603743448,0.6204709372152394,0.3994765121119193,1.987470105493209,1.547845786191129,-0.2896980257445158,0.4007591412346069,0.9673040275080936
9,1,0.6328924123608806,0.6095510413457207,0.3957761622301007,1.993583971618393,1.560310381146757,-0.1713707743239445,0.2667872657842515,0.9728553327464649
9,2,0.6327746863623404,0.602605411437507,0.3772967949638061,2.023839911693182,1.5620791211840697,-0.3818152742773796,0.5348177304084698,0.9537010762899188
9,3,0.6498233480743385,0.6261362666795427,0.4066920580464302,1.9754938712252017,1.5244189181696408,-0.3099909933024229,0.4643507169779206,0.9542839654693284
9,4,0.6566085596988666,0.6299238221594442,0.4274549101751868,1.940619777077309,1.5164124509006238,-0.1555107428934067,0.1651986733980231,0.9972562977303276
