Donor,SMILES
D_62,CCC(S1)=CC=C1C(C2=C3SC(C(SC4=C(C5=C6SC(C)=C5)C7=CC=C(S7)CC)=CC4=C6C8=CC=C(CC)S8)=C2)=C9SC(C%10=C(C(C%11=C(SC(CC)=C%11C%12=O)CC)=O)C%12=C(C)S%10)=CC9=C3C%13=CC=C(CC)S%13
D_63,CC1=C(C)C(Cl)=C(C2=CC3=C(C(C4=CC(F)=C(CCCCCCCC)S4)=C5C=C(C)SC5=C3C6=CC(F)=C(CCCCCCCC)S6)S2)S1
D_64,FC1=C(C2=CC=C(C3=CC4=C(C5=CC=C(SCCCCCCCCCCCC)S5)C(SC(C)=C6)=C6C(C7=CC=C(SCCCCCCCCCCCC)S7)=C4S3)S2)C8=NN(CC(CCCCCC)CCCCCCCC)N=C8C(C9=CC=C(C%10=CC(C(C%11=CC=C(SCCCCCCCCCCCC)S%11)=C(S%12)C(C=C%12C)=C%13C%14=CC=C(SCCCCCCCCCCCC)S%14)=C%13S%10)S9)=C1F
D_65,CC1=CC(C(C2=CC=C(CC(CCCC)CCCCCC)S2)=C3SC(C4=C(CCCCCCCC)C=C(C5=NN=C(S5)C6=CC(CCCCCCCC)=C(S6)C)S4)=CC3=C7C8=CC=C(CC(CCCCCC)CCCC)S8)=C7S1
D_66,CC1=CC(C(C2=CC(F)=C(SCC(CCCC)CCCCCC)S2)=C3SC(C4=C(CCCCCCCC)C=C(C5=C(C(F)=C(C6=NSN=C56)C7=CC(CCCCCCCC)=C(S7)C)F)S4)=CC3=C8C9=CC(F)=C(SCC(CCCCCC)CCCC)S9)=C8S1
D_67,CC1=CC=C(C(C2=NN(N=C2C(C3=CC=C(C4=C(C=C(S4)C5=C6C(C=CS6)=C(C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)C8=C5C=CS8)CC(CCCCCCCCCCCC)CCCCCCCCCC)S3)=C9F)CCC)=C9F)S1
D_68,FC(C(F)=C(C1=NN(N=C21)CC(CCCCCC)CCCCCCCC)C3=CCC(C)S3)=C2C(S4)=CC=C4C(OC5=C(C6=C7OC(C)=C6)C8=CC(Cl)=C(CC(CC)CCCC)S8)=CC5=C7C9=CC(Cl)=C(S9)CC(CC)CCCC
D_69,FC(C(F)=C(C1=CC=C(C2=CC3=C(C(C4=CC(Cl)=C(CC(CC)CCCCCC)S4)=C(C=CS5)C5=C3C6=CC(Cl)=C(CC(CCCCCC)CC)S6)S2)S1)C7=NN(CC(CCCCCCCC)CCCCCC)N=C78)=C8C9=CC=CS9
D_70,CC1=CC(C(C2=CC=C(S2)CC(CCCC)CCCCCC)=C3S4)=C(S1)C(C5=CC=C(CC(CCCCCC)CCCC)S5)=C3C=C4C(S6)=C(CC(CCCC)CC)C=C6C7=NC8=C(S7)N=C(C9=CC(CC(CC)CCCC)=C(C)S9)S8
D_71,CC1=CC=C(C2=CC(C(N=C(C(C3=CC=C(S3)CCCCCCCC)=N4)C5=CC=C(S5)CCCCCCCC)=C4C(C6=CC=C(C7=CC8=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C(SC(C)=C%10)=C%10C(C%11=CC=C(SCC(CCCC)CCCCCC)S%11)=C8S7)S6)=C%12)=C%12C%13=C2N=C(C%14=CC=C(S%14)CCCCCCCC)C(C%15=CC=C(S%15)CCCCCCCC)=N%13)S1
D_72,CC1=CC2=C(C(C([Se]3)=CC=C3[Si](CCC)(CCC)CCC)=C4C=C(SC4=C2C5=CC=C([Se]5)[Si](CCC)(CCC)CCC)C6=CC=C(S6)C(C7[N]N([N]C7C(C8=CC=C(C)S8)=C9F)CC(CCCCCC)CCCCCCCC)=C9F)S1
D_73,CCC(CCCC)CC(S1)=CC=C1C(C2=C3SC(C4=CC=C(C5=C(C(OCC(CC)CCCC)=O)C6=C(C(C(OCC(CCCCCC)CC)=O)=C(C7=CC=C(C)S7)S6)S5)S4)=C2)=C8SC(C)=CC8=C3C9=CC=C(S9)CC(CCCC)CC
D_74,CC1=CC(C(S1)=C(C2=C3SC(C4=C(CC(CCCC)CCCCCC)C=C(C5=NC6=C(C=C(N=C(C7=CC(CC(CCCC)CCCCCC)=C(C)S7)S8)C8=C6)S5)S4)=C2)C9=CC=C(S9)CC(CCCC)CC)=C3C%10=CC=C(S%10)CC(CC)CCCC
D_75,CCC(S1)=CC=C1C(C2=C3SC(C(SC4=C(C5=C6SC(C(SC7=C(C8=C9SC(C)=C8)C%10=CC=C(S%10)CC)=CC7=C9C%11=CC=C(CC)S%11)=C5)C%12=CC=C(S%12)CC)=CC4=C6C%13=CC=C(CC)S%13)=C2)=C%14SC(C%15=C(C(C%16=C(SC(CC)=C%16C%17=O)CC)=O)C%17=C(C)S%15)=CC%14=C3C%18=CC=C(CC)S%18
D_76,FC(C(F)=C(C1=NSN=C21)C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S3)C4=CC=C(S4)C5=CC=C(S5)C)=C2C6=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C)S6
D_77,FC(C(F)=C(C1=NN(N=C21)CC(CCCCCC)CCCCCCCC)C3=CCC(C)S3)=C2C(S4)=CC=C4C(OC5=C(C6=C7OC(C)=C6)C8=CC(F)=C(CC(CC)CCCC)S8)=CC5=C7C9=CC(F)=C(S9)CC(CC)CCCC
D_78,CCCCCCC1=C(SC(C2=CC(C(C3=CC=C(S3)CC(CCCC)CC)=C4SC(C)=CC4=C5C6=CC=C(S6)CC(CCCC)CC)=C5S2)=C1F)C
D_79,CC1=CC2=C(S1)C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC5=C(C(C6=CC=C(CCCCCC)C=C6)(C7=C5SC8=C7SC(C9=CC=C(S9)C%10=C(C(F)=C(C%11=NN(CC(CCCC)CCCCCC)N=C%10%11)C%12=CC=C(S%12)C)F)=C8)C%13=CC=C(CCCCCC)C=C%13)C=C4%14)C%15=CC=C(CCCCCC)C=C%15)=C%14S2
D_80,CC1=CC(C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)=C3OC(C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C56)CC(CCCCCCCC)CCCCCC)C7=CC=C(C)S7)F)=CC3=C8C9=CC=C(S9)[Si](CCC)(CCC)CCC)=C8O1
D_81,CC1=CC2=C(C(C(S3)=CC=C3[Si](CCC)(CCC)CCC)=C4C=C(SC4=C2C5=CC=C(S5)[Si](CCC)(CCC)CCC)C6=CC=C([Se]6)C(C7[N]N([N]C7C(C8=CC=C(C)[Se]8)=C9F)CC(CCCCCC)CCCCCCCC)=C9F)S1
D_82,CC1=CC2=C(C3=C(C(C4=CC(F)=C(S4)CC(CC)CCCC)=C2S1)C=C(C5=CC=C(S5)C6=CC7=C(C8=NN(N=C68)CC(CCCCCC)CCCC)C=C(C9=NN(N=C79)CC(CCCC)CCCCCC)C%10=CC=C(S%10)C)S3)C%11=CC(F)=C(S%11)CC(CC)CCCC
D_83,O=C1C(C=CS2)=C2C3=C(C=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(S7)CC(CC)CCCC)=C5S4)C=C(C)S6)C8=CC=C(S8)CC(CCCC)CC)N1CC(CCCCCCCCCC)CCCCCCCC
D_84,CC1=CC=C(S1)C2=CC=C(C(F)=C2F)C3=CC=C(S3)C4=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C(C5=C(C(F)=C(C6=NN(N=C56)CCC)C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)F)S4
D_85,FC(C(F)=C(C1=N2)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CCCCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CCCCCCCC)=C(C9=CC=C(C)S9)C1=NN2CCCCCCCCCCCCCCCC
D_86,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CC(CC)CCCC)=C7C6=O)CC(CC)CCCC)=O)=C(S5)C8=CC=C(C)S8)=C2)C9=CC=CC(OCC(CC)CCCC)=C9)=C3C%10=CC=CC(OCC(CC)CCCC)=C%10
