Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,PCE(%),JSC(mA/cm2 ),FF,Voc
PTzBI-Ph,CC1=CC(C(C2=CC=C(C=C2)CC(CCCC)CC)=C3S4)=C(S1)C(C5=CC=C(C=C5)CC(CC)CCCC)=C3C=C4C(S6)=CC=C6C(C7=NN(N=C87)CCCCCCCC)=C(C(N(C9=O)CCCCCCCC)=O)C9=C8C%10=CC=C(C)S%10,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,10.19,16.39,0.677,0.918
PTzBI-DT,CC1=CC2=C(C(C(C3=CC(CCCCCC)=C(S3)CC(CCCC)CC)=C4SC(C=C5C(S6)=CC=C6C(C7=NN(CCCCCCCC)N=C87)=C(C(N(C9=O)CCCCCCCC)=O)C9=C8C%10=CC=C(C)S%10)=C(S5)C4=C%11C%12=CC(CCCCCC)=C(S%12)CC(CCCC)CC)=C%11S2)S1,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,9.43,16.84,0.615,0.91
PTzBI,CC1=CC2=C(C(C(C3=CC=C(S3)CC(CCCC)CC)=C4SC(C=C5C(S6)=CC=C6C(C7=NN(CCCCCCCC)N=C87)=C(C(N(C9=O)CCCCCCCC)=O)C9=C8C%10=CC=C(C)S%10)=C(S5)C4=C%11C%12=CC=C(S%12)CC(CCCC)CC)=C%11S2)S1,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,10.24,18.29,0.643,0.87
PTZ1,CC1=CC(C(C2=CC=C(S2)CC(CCCC)CCCCCC)=C3S4)=C(S1)C(C5=CC=C(CC(CCCCCC)CCCC)S5)=C3C=C4C(S6)=C(CC(CCCC)CC)C=C6C7=NC8=C(S7)N=C(C9=CC(CC(CC)CCCC)=C(C)S9)S8,IDIC,N#C/C(C#N)=C(C1=CC=CC=C1C2=O)/C2=C/C3=CC4=C(C5=C(C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8/C(C9=CC=CC=C9C8=O)=C(C#N)/C#N)=C7)=C5)C4(CCCCCC)CCCCCC)S3,11.5,16.4,0.762,0.92
PTTBTBO,CC(C1=NSN=C21)=C(OCC(CCCCCC)CCCC)C(OCC(CCCC)CCCCCC)=C2C3=CC4=C(S3)C=C(C)S4,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,1.57,3.94,0.46,0.87
PTT4FB,FC(C(F)=C(C(F)=C1F)C2=CC=C(S2)C3=C(C4=CC=C(S4)C(CCCCCCCCCCCC)CCCCCCCCCC)C=C(C5=C(C(F)=C(C6=NN(N=C56)CCCCCCCC)C7=CC(C8=CC=C(S8)CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S7)C)F)S3)=C1C9=CC=C(C)S9,IDIC,N#C/C(C#N)=C(C1=CC=CC=C1C2=O)/C2=C/C3=CC4=C(C5=C(C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8/C(C9=CC=CC=C9C8=O)=C(C#N)/C#N)=C7)=C5)C4(CCCCCC)CCCCCC)S3,10.6,16.24,0.67,0.96
PTQ9,CC1=CC=C(C2=C(F)C=C(C3=C2N=CC(OCC(CCCCCC)CCCCCCCC)=N3)C)S1,Y6,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N,10.5,23.72,0.54,0.82
PTQ8,CC1=C(F)C(F)=C(S1)C2=CC=C(C)C3=C2N=CC(OCC(CCCCCC)CCCCCCCC)=N3,Y6,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N,0.9,3.11,0.325,0.89
PTQ7,CC1=CC=C(S1)C2=CC=C(C)C3=C2N=CC(OCC(CCCCCC)CCCCCCCC)=N3,Y6,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N,5.75,18.65,0.434,0.71
PTQ11,CC(C(F)=C(C(C1=CC=C(S1)C)=C2N=C3[Mg])F)=C2N=C3OCC(CCCCCC)CCCCCCCC,TPT10,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3,16.32,24.79,0.748,0.88
