Acceptor,SMILES
A_28,CCCCCCC1=CC=C(C2(C3=CC=C(C=C3)CCCCCC)C4=C(C=C(C5=C4)C(C(C=C6)=CC=C6CCCCCC)(C7=C5SC(/C=C8/C(C9=C(C8=O)C=C(F)C=C9)=C(C#N)\C#N)=C7)C(C=C%10)=CC=C%10CCCCCC)C%11=C2C%12=C(C(SC(/C=C(C%13=O)/C(C%14=C%13C=C(F)C=C%14)=C(C#N)\C#N)=C%15)=C%15N%12CCCCCCCC)S%11)C=C1
A_29,FC1=CC(C(/C2=C/C3=C(CCCCCCCC)C4=C(S3)C(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C(C7=C8C)=C9SC7=CC%10=C8SC%11=C%10[C@](C%12=CC=C(CCCCCC)C=C%12)(C%13=C%11SC%14=C%13SC(/C=C%15/C(C%16=C(C%15=O)C=C(F)C(F)=C%16)=C(C#N)\[N+]#[C-])=C%14CCCCCCCC)C)=C9S4)=C(C#N)/C#N)=C(C2=O)C=C1F
A_30,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C5=C(S4)C(C6(C7=CC=C(CCCCCCCC)C=C7)C8=CC=C(CCCCCCCC)C=C8)=C(C9=CC%10=C(C%11=C(C%10(C%12=CC=C(C=C%12)CCCCCCCC)C%13=CC=C(C=C%13)CCCCCCCC)C(SC%14=C%15SC(/C=C%16C(C%17=CC(F)=C(C=C%17C\%16=C(C#N)\C#N)F)=O)=C%14)=C%15S%11)C=C96)S5)S3
A_31,O=C(C1=CC(F)=C(C=C1C/2=C(C#N)\C#N)F)C2=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)CC(CC)CCCC)=C(CC%10=C%11C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC(CCCCCC)=CC=C%13)C%14=C%10SC(/C=C%15C(C%16=C(C=C(F)C(F)=C%16)C\%15=C(C#N)\C#N)=O)=C%14)C%11=C8C%17=CC=C(C=C%17)CC(CC)CCCC)=C7S3
A_32,[Cl]C1=CC2=C(C(/C(C2=O)=C/C3=CC4=C(C5=C(N4C(CCCCCC)CCCC)C6=C(C(OCC(CCCC)CC)=C7C8=C(C9=C(N8CC(CCCCCC)CCCC)C=C(/C=C%10C(C%11=CC([Cl])=C(C=C%11C\%10=C(C#N)\C#N)[Cl])=O)S9)SC7=C6OCC(CCCC)CC)S5)S3)=C(C#N)\C#N)C=C1[Cl]
A_33,CCCCC(CN1N=C2C3=C(C4=C(C5=C(N4CC(CCCC)CC)C6=C(C=C(S6)/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)S5)C2=N1)N(CC(CCCC)CC)C9=C3SC%10=C9SC(/C=C%11C(C%12=C(C=C(F)C(F)=C%12)C\%11=C(C#N)/C#N)=O)=C%10)CC
A_34,O=C(C/1=C\C2=CC3=C(S2)C(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=CC8=C(C=C74)C9=C(C%10=C(S9)C=C(/C=C%11C(C%12=CC=C(Cl)C=C%12C\%11=C(C#N)/C#N)=O)S%10)C8(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(Cl)C=C%15C1=C(C#N)/C#N
A_35,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCC)C(S4)=C(S3)C5=C4C6=C(N5CC(CCCC)CCCCCCCCCC)C7=C(C(SC8=C9SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C8CCCCCC)=C9N7C(CCCCCCCCCC)CCCC)C%12=NSN=C6%12
A_36,O=C(C1=C(SC=C1C/2=C(C#N)\C#N)Cl)C2=C/C3=CC(CC4=C5C(C(C=C6)=CC=C6CCCCCC)(C(C4=C7)=CC8=C7C(C9=CC=C(C=C9)CCCCCC)(C%10=CC=C(C=C%10)CCCCCC)C%11=C8SC%12=C%11SC(/C=C%13C(C%14=C(SC=C%14C\%13=C(C#N)\C#N)Cl)=O)=C%12)C%15=CC=C(C=C%15)CCCCCC)=C5S3
A_37,O=C(C(C=C(C(F)=C1)F)=C1C/2=C(C#N)\C#N)C2=C/C3=CSC(C4=CC(C5(C6=CC=C(C=C6)CCCCCC)C7=CC=C(CCCCCC)C=C7)=C(C8=CC9=C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=C(SCC(CC)CCCC)C(/C=C%14C(C(C=C(C(F)=C%15)F)=C%15C\%14=C(C#N)\C#N)=O)=CS%13)S%10)C=C85)S4)=C3SCC(CCCC)CC
